Pro	province	new	cumu
1/10/2020	Hubei	41	41
1/16/2020	Hubei	4	45
1/17/2020	Hubei	17	62
1/17/2020	Zhejiang	5	5
1/18/2020	Hubei	59	NA
1/19/2020	Hubei	77	198
1/19/2020	Beijing	5	5
1/20/2020	Guangdong	14	NA
1/20/2020	Shanghai	2	2
1/21/2020	Tianjin	2	NA
1/21/2020	Shanghai	4	NA
1/21/2020	Henan	1	NA
1/21/2020	Chongqing	5	NA
1/21/2020	Sichuan	1	NA
1/21/2020	Guangdong	3	NA
1/21/2020	Beijing	5	10
1/21/2020	Shandong	1	NA
1/21/2020	Hubei	177	375
1/21/2020	Yunnan	1	NA
1/21/2020	Hunan	1	NA
1/21/2020	Sichuan	1	NA
1/21/2020	Jiangxi	2	NA
1/21/2020	Zhejiang	5	10
1/21/2020	Shanghai	3	NA
1/21/2020	Guangdong	9	NA
1/22/2020	Tianjin	2	NA
1/22/2020	Liaoning	2	NA
1/22/2020	Hubei	69	444
1/22/2020	Hainan	4	NA
1/22/2020	Anhui	1	NA
1/22/2020	Fujian	1	NA
1/22/2020	Hebei	1	NA
1/22/2020	Guizhou	1	NA
1/22/2020	Yunnan	1	NA
1/22/2020	Hunan	3	NA
1/22/2020	Chongqing	1	NA
1/22/2020	Shanxi	1	NA
1/22/2020	Sichuan	3	NA
1/22/2020	Ningxia	1	NA
1/22/2020	Guangxi	1	NA
1/22/2020	Henan	4	NA
1/22/2020	Shandong	1	NA
1/22/2020	Beijing	4	NA
1/22/2020	Jiangsu	1	NA
1/22/2020	Heilongjiang	2	NA
1/22/2020	Guangxi	3	NA
1/22/2020	Shanghai	7	NA
1/22/2020	Shandong	4	NA
1/22/2020	Sichuan	3	NA
1/22/2020	Guangdong	6	NA
1/22/2020	Jilin	1	NA
1/22/2020	Fujian	3	NA
1/22/2020	Liaoning	1	NA
1/22/2020	Hunan	5	NA
1/22/2020	Chongqing	3	NA
1/22/2020	Anhui	8	NA
1/22/2020	Guizhou	2	NA
1/22/2020	Jiangxi	1	NA
1/22/2020	Zhejiang	17	NA
1/23/2020	Fujian	1	NA
1/23/2020	Beijing	8	NA
1/23/2020	Shaanxi	3	NA
1/23/2020	Jiangsu	4	NA
1/23/2020	Gansu	2	NA
1/23/2020	Jiangxi	4	NA
1/23/2020	Hebei	1	NA
1/23/2020	Ningxia	1	NA
1/23/2020	Guangxi	8	NA
1/23/2020	Tianjin	1	5
1/23/2020	Tianjin	1	NA
1/23/2020	Beijing	4	26
1/23/2020	Shanghai	4	20
1/23/2020	Henan	4	9
1/23/2020	Guangdong	21	53
1/23/2020	Shandong	3	9
1/23/2020	Anhui	6	15
1/23/2020	Heilongjiang	2	4
1/23/2020	Hubei	105	NA
1/23/2020	Zhejiang	16	43
1/23/2020	Sichuan	7	15
1/23/2020	Xinjiang	2	NA
1/23/2020	Jilin	2	NA
1/23/2020	Chongqing	18	27
1/23/2020	Jiangsu	4	9
1/23/2020	Hunan	15	24
1/23/2020	Hainan	4	8
1/23/2020	Liaoning	1	NA
1/23/2020	Inner Mongolia	1	1
1/23/2020	Fujian	4	9
1/23/2020	Shandong	6	15
1/23/2020	Ningxia	1	2
1/24/2020	Tianjin	1	7
1/24/2020	Fujian	1	10
1/24/2020	Shaanxi	2	5
1/24/2020	Beijing	8	34
1/24/2020	Beijing	2	36
1/24/2020	Tianjin	1	7
1/24/2020	Yunnan	3	NA
1/24/2020	Jiangxi	11	18
1/24/2020	Guangxi	10	23
1/24/2020	Gansu	2	4
1/24/2020	Hubei	180	NA
1/24/2020	Liaoning	8	12
1/24/2020	Shanxi	5	6
1/24/2020	Shanghai	13	NA
1/24/2020	Shandong	6	21
1/24/2020	Jiangsu	9	18
1/24/2020	Hebei	6	8
1/24/2020	Chongqing	30	57
1/24/2020	Hunan	19	43
1/24/2020	Heilongjiang	5	9
1/24/2020	Anhui	24	39
1/24/2020	Guizhou	1	4
1/24/2020	Zhejiang	19	62
1/24/2020	Inner Mongolia	1	NA
1/24/2020	Guangdong	25	NA
1/24/2020	Henan	23	32
1/24/2020	Jilin	1	7
1/24/2020	Xinjiang	1	3
1/24/2020	Sichuan	13	28
1/25/2020	Liaoning	3	15
1/25/2020	Hainan	9	17
1/25/2020	Guangxi	1	NA
1/25/2020	Shandong	6	NA
1/25/2020	Tianjin	1	9
1/25/2020	Fujian	8	NA
1/25/2020	Shaanxi	10	15
1/25/2020	Qinghai	1	NA
1/25/2020	Tianjin	1	10
1/25/2020	Liaoning	1	16
1/25/2020	Beijing	5	41
1/25/2020	Yunnan	6	NA
1/25/2020	Liaoning	1	17
1/25/2020	Guangxi	10	33
1/25/2020	Shanxi	3	9
1/25/2020	Heilongjiang	6	15
1/25/2020	Beijing	10	51
1/25/2020	Hubei	323	1052
1/25/2020	Jiangxi	18	36
1/25/2020	Shanghai	7	40
1/25/2020	Shandong	12	40
1/25/2020	Henan	51	83
1/25/2020	Hunan	26	69
1/25/2020	Anhui	21	60
1/25/2020	Guizhou	1	5
1/25/2020	Jiangsu	13	31
1/25/2020	Zhejiang	42	104
1/25/2020	Hebei	5	13
1/25/2020	Chongqing	18	75
1/25/2020	Guangdong	20	98
1/25/2020	Gansu	3	7
1/25/2020	Xinjiang	1	4
1/25/2020	Inner Mongolia	5	7
1/25/2020	Liaoning	2	19
1/25/2020	Ningxia	1	4
1/25/2020	Sichuan	16	44
1/25/2020	Tianjin	3	13
1/25/2020	Hainan	3	22
1/25/2020	Shaanxi	7	22
1/25/2020	Beijing	3	54
1/26/2020	Shandong	7	46
1/26/2020	Fujian	11	NA
1/26/2020	Liaoning	2	21
1/26/2020	Guangxi	NA	36
1/26/2020	Fujian	6	NA
1/26/2020	Beijing	9	63
1/26/2020	Tianjin	1	14
1/26/2020	Beijing	5	68
1/26/2020	Liaoning	1	22
1/26/2020	Jiangxi	12	48
1/26/2020	Shanxi	4	13
1/26/2020	Hubei	371	1423
