Province(Chinese)	City(Chinese)	Province(English)	City(English)
湖北	武汉	Hubei	Wuhan
湖北	黄冈	Hubei	Huanggang
湖北	孝感	Hubei	Xiaogan
湖北	襄阳	Hubei	Xiangyang
湖北	随州	Hubei	Suizhou
湖北	荆州	Hubei	Jingzhou
湖北	宜昌	Hubei	Yichang
湖北	荆门	Hubei	Jingmen
湖北	鄂州	Hubei	Ezhou
湖北	黄石	Hubei	Yellowstone
湖北	咸宁	Hubei	Xianning
湖北	十堰	Hubei	Shiyan
湖北	仙桃	Hubei	Xiantao
湖北	恩施州	Hubei	Enshi
湖北	天门	Hubei	Tianmen
湖北	潜江	Hubei	Qianjiang
湖北	神农架	Hubei	Shennongjia
浙江	温州	Zhejiang	Wenzhou
浙江	杭州	Zhejiang	Hangzhou
浙江	台州	Zhejiang	Taizhou
浙江	宁波	Zhejiang	Ningbo
浙江	金华	Zhejiang	Jinhua
浙江	绍兴	Zhejiang	Shaoxing
浙江	嘉兴	Zhejiang	Jiaxing
浙江	丽水	Zhejiang	Lishui
浙江	舟山	Zhejiang	Zhoushan
浙江	湖州	Zhejiang	Huzhou
广东	深圳	Guangdong	Shenzhen
广东	广州	Guangdong	Guangzhou
广东	佛山	Guangdong	Foshan
广东	珠海	Guangdong	Zhuhai
广东	东莞	Guangdong	Dongguan
广东	惠州	Guangdong	Huizhou
广东	中山	Guangdong	Zhongshan
广东	汕头	Guangdong	Shantou
广东	湛江	Guangdong	Zhanjiang
广东	阳江	Guangdong	Yangjiang
广东	肇庆	Guangdong	Zhaoqing
广东	清远	Guangdong	Qingyuan
广东	揭阳	Guangdong	Jieyang
广东	梅州	Guangdong	Meizhou
广东	韶关	Guangdong	Shaoguan
广东	汕尾	Guangdong	Shanwei
广东	茂名	Guangdong	Maoming
广东	江门	Guangdong	Jiangmen
广东	潮州	Guangdong	Chaozhou
广东	河源	Guangdong	Heyuan
河南	信阳	Henan	Xinyang
河南	南阳	Henan	Nanyang
河南	郑州	Henan	Zhengzhou
河南	驻马店	Henan	Zhumadian
河南	周口	Henan	Zhoukou
河南	商丘	Henan	Shangqiu
河南	安阳	Henan	Anyang
河南	新乡	Henan	Xinxiang
河南	漯河	Henan	Luohe
河南	许昌	Henan	Xuchang
河南	平顶山	Henan	Pingdingshan
河南	开封	Henan	Kaifeng
河南	三门峡	Henan	Sanmenxia
河南	永城	Henan	Yongcheng
河南	鹤壁	Henan	Hebi
河南	洛阳	Henan	Luoyang
河南	濮阳	Henan	Liyang
河南	焦作	Henan	Jiaozuo
河南	长垣	Henan	Nagagaki
河南	滑县	Henan	Huaxian
湖南	长沙	Hunan	Changsha
湖南	岳阳	Hunan	Yueyang
湖南	邵阳	Hunan	Shaoyang
湖南	常德	Hunan	Changde
湖南	怀化	Hunan	Huaihua
湖南	娄底	Hunan	Loudi
湖南	衡阳	Hunan	Hengyang
湖南	益阳	Hunan	Yiyang
